,Attr,Min,Max,Average,Mode,Range,Std
0,iq,56.0,108.0,86.57,99.0,52.0,13.18
1,education_expenditure_per_inhabitant,3.0,3527.0,554.28,13.0,3524.0,773.03
2,daily_max_temp,7.3,36.5,23.84,23.84,29.2,7.84
3,stability,8.0,93.0,59.58,59.58,85.0,19.27
4,rights,7.0,100.0,54.29,54.29,93.0,25.24
5,health,6.0,100.0,62.5,62.5,94.0,23.64
6,safety,10.0,100.0,79.73,79.73,90.0,20.38
7,climate,2.0,95.0,50.85,50.85,93.0,19.0
8,costs,23.0,76.0,51.19,51.19,53.0,11.8
9,popularity,11.0,73.0,38.96,38.96,62.0,10.57
10,area,30.0,17098250.0,1478703.15,1478703.15,17098220.0,2409037.03
11,population,60000.0,1412360000.0,101358196.72,101358196.72,1412300000.0,188801316.89
12,pop_per_km_sq,3.3,21657.6,840.45,840.45,21654.3,2249.38
